Title,Description,Permalink,Post type,People reached,Comments,Likes,Shares,Engagements,Link clicks,Photo views,Other clicks,Total clicks
,"#柔佛 📍也有小马尔代夫‼
Pulau Dayang🏝 看海豚🐬鲸鲨🐋
.
看海不一定要去马尔代夫！😍想要小支旅行却想看高级景色？小编最近发现在本地不用出国，其实也有 #超漂亮的岛屿！就在柔佛的【 #PulauDayang】啦！🏝
.
这里的海水清澈见底🏖，可以媲美沙巴的海边，还有 #小马尔大夫 之称！重点是，还不多人知道，不怕游客人山人海～ 在这里潜水可以遇到各种各样的海洋生物：
🐠神仙鱼
🐟狮子鱼
🐬海豚
🐋鲸鲨
.
⚠️可是由于季候风转变，Pulau Dayang将在每年的12月至隔年2月都会关闭哦。
【Pulau Dayang】
📍Pulau Dayang, Mersing, Johor
.
✏️Credit: #小云小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！
[感谢赞助商，要玩就要玩最安全的Eclbet   ]",https://www.facebook.com/myeatkaki/posts/pfbid02NFQqEzhGaJC4e6Zi3dLowUTjArS1JAvVBTvXPXUt4h1h93tfgkYytVegFKbpdnM1l,Photo,613583,2037,4366,3208,9611,2,35795,17331,53127
,"#好康kaki
HONOR 90 盛大开卖会🔥
1 Utama📍幸运抽奖高达RM188888‼️
.
HONOR 90 系列终于来马了🇲🇾 以「护眼」为最大亮点的手机系列，肯定让大家好奇实际上看是不是真的会 “不伤眼” ～ 来吧来吧✨ 快到 1 Utama📍的【HONOR】来看看 #庐山真面目‼️
现场除了可以看到最新系列的手机产品、还有一系列的HONOR热销电子产品、最重要的是🔥有买有送，还有大大的折扣❗️另外还有机会可以抽奖得豪礼🤩
.
【 Honor Store 1 Utama 盛大开卖会 】
📅活动日期：2023年7月26-30日
📍活动地点：HONOR 1 Utama
⏰活动时间：每日10:00 am - 10:00 pm
.
到场可以立即可以试用HONOR的任何一样电子产品，像是手机、平板电脑、电子手表等❗️
✅ 超多HONOR 产品&配件， #最低从RM15.90起🔥
✅ 凡 #有买有discount ‼️ 还附送高达R1499的超值礼品🎁
✅ 只要购买产品就有有机会获得RM188888 的幸运抽奖💰
✅ 另外还可享有 #0利息 分期付款💳
.
想要亲眼目睹最新产品👀 那你就不要错过即将来临的 #超值promotion🔥 现场还有专业的人员可以跟你们详细分析与介绍✨好康机会不多，赶快save下日期📅 买起来吧❗️
.
【 Honor Store 1 Utama, Petaling Jaya (HES) 】
📍地点：Lot S332, 2nd Floor
☎️电话：  016 - 2253189 / 03 - 64205477 / 0113 - 9889181
📲Whatsapp： https://wa.me/60162253189
📲Whatsapp： https://wa.me/601139889181

【Access Mobile 】
Facebook：https://www.facebook.com/accessmobilemarketing/
.
✏️credit: #大码小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid02nhHaCERFbejwNKLzix1MJTCMfQeDrhpyyGcTxighAYTZ2o6PXKvq7EvK1FU2jfN6l,Photo,613440,24,838,108,970,52,17296,4853,22201
上邮轮这些全免费！ 第二位只需RM1✨,"#邮轮kaki 
上邮轮这些全免费！
第二位只需RM1✨
.
你还以为 #邮轮旅行 是件很OUT的事❓那你就大错特错了🫢
现在的邮轮已经很先进了okay～ 不仅提供丰富多样的活动和娱乐，还有 #各种优惠ALL_IN配套 等着你来挖掘😍
.
只需付1⃣️个价钱，就能ALL IN体验以下设施&美食✨
✅ 免费3间高级自助餐厅➕1个自助小吃Bar台（包括5餐）
✅ 海上甲板泳池🏊‍♀️
✅ 小孩水上乐园🛝
✅ 15种以上游玩设施 & 游戏机任你玩🎮
✅ 爽泡温水Jacuzzi🛀
✅ 海上户外电影院🎬
✅ 超强阵容杂技团Liveshow表演🤹
✅ 爽玩🇸🇬新加坡旅游景点
⚠️配套不包含港口费&税务等费用
⚠️开放报名时期：即日起至7月31号
.
🎉目前我们有 #限时超值双人游 第二位仅需付RM1，就可登上🚢 豪华邮轮——云顶梦号‼️🤩  #位子先到先得～
【Genting Dream Cruise 云顶梦号】
2种邮轮路线 任你选：
👇4天3夜👇
巴生港口 ➡️ 槟城 ➡️ 新加坡🇸🇬 ➡️ 巴生港口
👇5天4夜👇
巴生港口 ➡️ 新加坡🇸🇬 ➡️ High Seas ➡️ 新加坡🇸🇬 ➡️ 巴生港口
.
什么都不用烦🔥 带上行李就可以上船享受所有游玩设施&自助美食啦😍 
下船就可以到其他景点参观玩耍，和另一半/闺蜜一起趴趴走‼️
.
赶紧PM我们拿下限时优惠❗错过了可就没有咯～～😏
.
【Malaysian Harmony Tour & Travel Sdn Bhd】
📱Tel: +60321102331
📱WhatsApp: https://bit.ly/0126223314
.
【Asia Cathay Travel Sdn Bhd】
📱Tel: +60321425566
📱WhatsApp: https://bit.ly/0167763314
.
【 @[100083153839267:2048:Cruise Master]  】
📱FB：https://www.facebook.com/CruiseMasterMalaysia
📱IG：https://www.instagram.com/cruisemastermy
🔗官网网站：http://www.malaysianharmony.com.my/
.
✏️Content Creator: #咩小编
🎤Host:  #咩小编
🎬Editor: Pyco
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid0XQq3SQ8mTJMYGXxGgrz9gHAcscP94kUmY5k93f3MHVcF1EJoLfgc9Wst6FZckQWLl,Video,587307,1324,2643,1704,5671,1751,,26560,28373
,"#金马伦kaki
金马伦📍平价民宿，只需RM25🤩
对面就是pasar malam🎪
🛒点击购买金马伦草莓：https://shope.ee/AK6pdzgHUU
.
在 #金马伦 竟然可以找到 #RM25的住宿⁉️ 小编真心推荐这一区的民宿！😍靠近各大小景点中心，重点是这个民宿就背对着当地最著名的 #金马伦夜市😋，走路几分钟就能到咯！不怕塞车啦～
.
这家民宿房共有3️⃣间房，最多可以放7️⃣张床！很适合一家人/同学聚会！
🛒点击购买金马伦草莓：https://shope.ee/AK6pdzgHUU
.
【Comfy Sofy 21- Backyard Garden- Night Market area】
📍地址：21, Jalan Golden Hill, 15, Cameron Golden Hill, 39000 Tanah Rata, Pahang
🚗走起：https://petalmaps.life/2p9esx46
FB: https://www.facebook.com/Comfy-Sofy-Homestay-at-Cameron-Highlands-2324248097817735
 联络方式： + 6012-933 8046
📸照片取自网络，如侵权请告知。
.
✏️Credit: #小云小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid02wZEEEkZYfS9wEmM5nku368odFQNVectgkcvnaexNX3HinrCzE6BYE5X8vUMuZsSZl,Photo,463649,1175,3758,2597,7530,605,36316,14499,51420
,"#资讯kaki 
📍Waze这样设定！🔥
🚫避免被带去油棕芭！
.
⚠️⚠️⚠️每次都被WAZE带去 #偏僻小路⁉️哎呀～记得关掉Unpaved roads的选项就不必担心啦！🤩
😣经常看到新闻报道说被Waze带去荷兰，每次出远门都在纠结应该用 #Waze 还是google map，为了避免大家 #被导航带去偏僻小路🛣️，小编这里就帮大家准备了懒人包！
.
如果你不想要被导航带去荷兰，就跟着小图步骤做Setting啦～3️⃣秒搞定！
.
✏️Credit: #小云小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！
[感谢赞助商，要玩就要玩最安全的 @𝐄𝐂𝐋𝐁𝐄𝐓 ]",https://www.facebook.com/myeatkaki/posts/pfbid0GEV9DTaQ2QPNsW5hdSBjSJgxfsbM3ELuxYHqMJHMkAYs6LgAHe7HwWnAweBEd9zFl,Photo,461732,286,1211,2435,3932,1,39152,8630,47783
,"#搬家仪式kaki
大马15个搬家禁忌❗
跟着传统习俗 赶走搬家霉运💪🏻
.
搬家的时候都会有一些必备的仪式，一代传一代的仪式可能慢慢变得没那么完全了😖那就跟着小编整理的这些 #搬家前和当天必须做的仪式 吧！
.
希望能帮到要搬新家的你，之后要搬家也可以 #提前先看做准备~
.
✏️Credit By：#蔡蔡小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid02AdUZxLE3cBSikXvNb22yJfeM7gKDbFzwPMN8VKC6U1nHGKN2Kw7b4a8dDeECNSL2l,Photo,418858,435,2164,3155,5754,3,44011,8825,52839
,"#打卡kaki
丰盛港📍 最新秘密打卡点🛤
无敌海景🌅+蜿蜒山路📸
.
丰盛港神秘 #海边打卡景点～🌅无敌海景+蜿蜒山路，而且还是免费的！在山顶眺望辽阔的大海，还有疗愈的夕阳，超适合 #情侣约会打卡的！📸
.
丰盛港近来在📕小红书爆红的“沿海公路”，地点就在【Pantai Pasir Lanun】附近！
马上mark起来，带另一半约会去咯～
.
【Pantai Pasir Lanun】
📍地点：Jalan Penyabong-Endau, Kampung Penyabong Pantai, 86900 Endau, Johor
🚗走起：https://petalmaps.life/32sb2pr2
*图片源自网络，如有侵权敬请告知
.
✏️Credit: #小云小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid02DrfLeUCezSF6iRABfPtGBcaVuZMX9XV6BGXxjTyaVWRuL5nXp2D3w7Fcmn9VvR3Kl,Photo,345280,790,2195,1337,4322,405,23262,7430,31097
,"Sekinchan📍第一家水上乐园！🎡
RM25🔥 玩水+ATV+电单车
.
如果经常有到🌾 #适耕庄旅游 的Kaki，每次要去 #热浪沙滩 一定会经过一家正在装修的乐园吧❓
Sekinchan📍  #第一个儿童水上乐园 现在已经开放啦～
.
🎫#入门票仅需RM25 就能体验多种娱乐设施——🔥【Msekin Wonderland】🔥，除了水上乐园，还提供刺激的ATV和电单车活动。
.
😍考虑带着孩子来适耕庄，留下美好的回忆吧！
【Msekin Wonderland】
📍No 358, Jalan Pantai Redang, Bagan Sekinchan, 45400 Sekinchan, Selangor, Malaysia
🚗走起：https://petalmaps.life/yckne86c
.
✏️Credit: #小云小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！
[感谢赞助商，要玩就要玩最安全的 Eclbet   ]",https://www.facebook.com/myeatkaki/posts/pfbid0tpL5AKxjADy2LySX7wJYmTnVSUowjKyfUfjUq25QhYEoqpcaZaEGieoAuL4u8p2Bl,Photo,297817,965,1743,1515,4223,286,23667,6567,30520
,"#资讯kaki
TNB不肯告诉你的秘密‼
节省50%电费的方法！😍
.
最近很多消息都说 #电费起了？家里电费无端端变贵了❓收到电费单时都吓了一跳 ，明明已经省着用了，为什么还是这么贵？那就要记得检查家里的电费是按照什么方式计算啦～如果是商用（Perdagangan）就会偏贵了！
.
小编这里帮大家整理了【 #超简单的省电方式】
跟着【11个步骤】做，电费立刻省一半！😁
.
⚠️整个转换程序会收费RM10 ,再等2-3天左右就能成功转换了！
接下来的电费就可以节省50%啦～
.
✏️Credit: #小云小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！
[感谢赞助商，要玩就要玩最安全的 Eclbet  ]",https://www.facebook.com/myeatkaki/posts/pfbid02W12ep9JJqBdQKUdKHB6LCyNiqAsELeFkGM783cnxwB5Axi6tKY6MwKNSRChJbiK6l,Photo,263817,171,826,1929,2926,1,31166,9696,40863
,"#资讯kaki 
💰目前的薪水真的够你花❓
EPF帮你算生活花销❕
.
KWSP默默的帮我们计算了2022-2023年间，每个人生阶段预计会 #需要的开销！💰你觉得你目前的薪水真的够花吗？😭
.
看了这个报告，小编真想把报告拿给老板看，看看老板会不会良心发现，少少🤏起一点薪水咧？哈哈哈！😂
.
✏️Credit: #小云小编
💾资料来源：KWSP BELANJAWANKU 2022/2023
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！
[感谢赞助商，要玩就要玩最安全的 @𝐄𝐂𝐋𝐁𝐄𝐓  ]",https://www.facebook.com/myeatkaki/posts/pfbid02D2HKVvVbZkkTDzy5Mz1q7L7yWfBLcQXW2jsMS5cmZDFoqrCzjRq4FA1XPub3f74Jl,Photo,257250,259,962,979,2200,6,42797,13628,56431
